
[command] Kanoon’s Best Amigos | 2021-10-15 14:24:01.532120 | pp4rosie#2007 | jek play 每当变幻时 熏尼
[command] Kanoon’s Best Amigos | 2021-10-20 08:55:17.871768 | pp4rosie#2007 | jek play ก่อน
[command] Kanoon’s Best Amigos | 2021-10-20 08:59:25.368510 | zearthz#2243 | jek play https://youtu.be/gRJdQH-6-J8
[command] Kanoon’s Best Amigos | 2021-10-20 14:29:19.013821 | pp4rosie#2007 | jek play https://youtu.be/PNABrf_ECg8
[command] Kanoon’s Best Amigos | 2021-10-20 14:29:49.552447 | ....#6809 | jek play https://www.youtube.com/watch?v=DvDPinu7pVY&list=RDMMDvDPinu7pVY&start_radio=1
[command] Kanoon’s Best Amigos | 2021-10-20 14:36:40.488449 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=DjY0XL8g7_o
[command] Kanoon’s Best Amigos | 2021-10-20 14:39:06.175752 | pp4rosie#2007 | jek play sympathique
[command] Kanoon’s Best Amigos | 2021-10-20 14:39:15.897063 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-20 14:39:21.147005 | pp4rosie#2007 | jek play sympathique
[command] Kanoon’s Best Amigos | 2021-10-20 14:39:29.530985 | pp4rosie#2007 | jek spam <@!293722130540134403>
[command] Kanoon’s Best Amigos | 2021-10-20 14:42:14.085604 | zearthz#2243 | jek play https://youtu.be/CE-jw2obLxc
[command] Kanoon’s Best Amigos | 2021-10-20 14:44:27.624049 | pp4rosie#2007 | jek play ucl anthem
[command] Kanoon’s Best Amigos | 2021-10-20 14:47:41.412997 | pp4rosie#2007 | jek play allez psg
[command] Kanoon’s Best Amigos | 2021-10-20 14:48:35.248636 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Qow_XNBCdl0
[command] Kanoon’s Best Amigos | 2021-10-20 14:53:06.120950 | pp4rosie#2007 | jek play dortmund goal song
[command] Kanoon’s Best Amigos | 2021-10-20 14:53:41.463559 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=AUmaQsltI0I
[command] Kanoon’s Best Amigos | 2021-10-20 14:55:46.168900 | pp4rosie#2007 | jek skip
[command] Kanoon’s Best Amigos | 2021-10-20 14:56:01.290580 | pp4rosie#2007 | jek play seven nations army bayern munich
[command] Kanoon’s Best Amigos | 2021-10-20 14:56:48.488332 | pp4rosie#2007 | jek play bayern goal song
[command] Kanoon’s Best Amigos | 2021-10-20 14:57:10.089550 | pp4rosie#2007 | jek skip
[command] Kanoon’s Best Amigos | 2021-10-20 14:57:28.635108 | pp4rosie#2007 | jek play https://youtu.be/E1AWN-ZqGGQ
[command] Kanoon’s Best Amigos | 2021-10-20 14:58:37.998256 | zearthz#2243 | jek play https://youtu.be/2cH47_nTJQ4
