
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-15 18:25:49.614810 | pp4rosie#2007 | jek play https://youtu.be/O1E_EtiBpSM
[command] Kanoon’s Best Amigos | 2021-11-24 15:13:18.978616 | pp4rosie#2007 | jek join
[command] Kanoon’s Best Amigos | 2021-11-24 15:13:43.934727 | pp4rosie#2007 | jek feedback bot died again
[command] Kanoon’s Best Amigos | 2021-11-24 15:13:48.666049 | pp4rosie#2007 | jek leave
[command] Kanoon’s Best Amigos | 2021-11-24 15:13:53.072303 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-11-24 15:17:24.259723 | pp4rosie#2007 | jek p si t'etais la - louane
[command] Kanoon’s Best Amigos | 2021-11-24 15:17:45.588068 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-11-24 15:20:52.333634 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-11-24 15:38:49.714914 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=J2CQAW446gs
[command] Kanoon’s Best Amigos | 2021-11-24 15:44:12.716093 | pp4rosie#2007 | jek p https://youtu.be/QaJWCP9u1ew
[command] Kanoon’s Best Amigos | 2021-11-24 15:49:54.579456 | pp4rosie#2007 | jek p worth the wait
[command] Kanoon’s Best Amigos | 2021-11-24 15:50:25.333959 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=xsSsRMwWTx0
[command] Kanoon’s Best Amigos | 2021-11-24 16:02:44.295230 | lordstone#8830 | jek play what a wonderful world
[command] Kanoon’s Best Amigos | 2021-11-24 16:05:07.094951 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=7CMw4r3TbHY
[command] Kanoon’s Best Amigos | 2021-11-24 16:06:45.874507 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=iRf9h2CUgzY
[command] Kanoon’s Best Amigos | 2021-11-24 17:08:59.518161 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=DKpaKHUlyBY&t=158s
[command] Kanoon’s Best Amigos | 2021-11-24 17:24:30.255663 | pp4rosie#2007 | jek p coconut song
[command] Kanoon’s Best Amigos | 2021-11-24 17:51:36.433565 | pp4rosie#2007 | jek p let it be rose blackpik
[command] Kanoon’s Best Amigos | 2021-11-24 17:51:38.547522 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=MQEnES9vIBo&list=PLn-4XerPUFq3mXcpAlAq5iPd3dLZJjiYI&index=23
[command] Kanoon’s Best Amigos | 2021-11-24 17:56:52.822854 | pp4rosie#2007 | jek p last christmas blackpink
[command] Kanoon’s Best Amigos | 2021-11-24 17:57:07.762410 | pp4rosie#2007 | jek p young k imagine
[command] Kanoon’s Best Amigos | 2021-11-24 18:01:58.459856 | Flukkie1010#6809 | jek play  https://www.youtube.com/watch?v=iKpWUuUXNFw
[command] Kanoon’s Best Amigos | 2021-11-24 18:06:34.168465 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=siF3GM68IDE
[command] Kanoon’s Best Amigos | 2021-11-24 18:15:26.048727 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=HwcCBnfhsR4
[command] GLHFGGEZ | 2021-11-25 10:15:33.657476 | เพื่อนมึงไง#5065 | jek play https://www.youtube.com/watch?v=9llKJOPG9EY
[command] GLHFGGEZ | 2021-11-25 10:15:46.348958 | เพื่อนมึงไง#5065 | jek checkin
[command] Kanoon’s Best Amigos | 2021-11-25 15:05:12.762644 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=DKpaKHUlyBY
[command] Kanoon’s Best Amigos | 2021-11-25 15:18:51.411989 | Flukkie1010#6809 | jek spam <@!688956272757833768>
[command] Kanoon’s Best Amigos | 2021-11-25 15:19:16.853381 | pp4rosie#2007 | jek thomas
[command] Kanoon’s Best Amigos | 2021-11-25 15:19:41.893111 | pp4rosie#2007 | Jek alarm
[command] Kanoon’s Best Amigos | 2021-11-25 15:20:18.542992 | pp4rosie#2007 | Jek p perfect symphony
[command] Kanoon’s Best Amigos | 2021-11-25 15:26:54.662017 | pp4rosie#2007 | Jek p la roja baila ramos
[command] Kanoon’s Best Amigos | 2021-11-25 15:32:24.252210 | Flukkie1010#6809 | jek spam <@!688956272757833768>
[command] Kanoon’s Best Amigos | 2021-11-25 15:35:51.000949 | pp4rosie#2007 | Jek p aux champs elysees pamplamoose
[command] Kanoon’s Best Amigos | 2021-11-25 15:36:15.630813 | Flukkie1010#6809 | jek spam <@!585609685651161098>
[command] Kanoon’s Best Amigos | 2021-11-25 15:36:29.671336 | pp4rosie#2007 | Jek p si t’etais la
[command] Kanoon’s Best Amigos | 2021-11-25 15:36:40.998423 | pp4rosie#2007 | Jek p on etait beau
[command] Kanoon’s Best Amigos | 2021-11-25 15:38:12.883534 | zearthz#2243 | jek play https://www.youtube.com/watch?v=1pBiCChscGY
[command] Kanoon’s Best Amigos | 2021-11-25 15:53:27.257111 | zearthz#2243 | jek play https://www.youtube.com/watch?v=HR5zpFs7YpY
[command] Kanoon’s Best Amigos | 2021-11-25 15:53:57.984624 | pp4rosie#2007 | Jek p https://youtu.be/Rq0NjgXSj0s
[command] Kanoon’s Best Amigos | 2021-11-25 15:57:18.716296 | zearthz#2243 | jek play https://www.youtube.com/watch?v=uPD0QOGTmMI
[command] Kanoon’s Best Amigos | 2021-11-25 16:00:07.134503 | pp4rosie#2007 | Jek p apa theme song
[command] Kanoon’s Best Amigos | 2021-11-25 16:05:23.352649 | pleumpwr#4479 | jek play super idol
[command] Kanoon’s Best Amigos | 2021-11-25 16:05:33.522130 | zearthz#2243 | jek play https://www.youtube.com/watch?v=IHgqZwf-4K0
[command] Kanoon’s Best Amigos | 2021-11-25 16:06:09.207291 | pleumpwr#4479 | jek play super idol 80's cover
[command] Kanoon’s Best Amigos | 2021-11-25 16:07:38.219078 | pleumpwr#4479 | jek q
[command] Kanoon’s Best Amigos | 2021-11-25 16:07:50.410340 | pleumpwr#4479 | jek skip
[command] Kanoon’s Best Amigos | 2021-11-25 16:14:20.579149 | pp4rosie#2007 | Jek help
[command] Kanoon’s Best Amigos | 2021-11-25 16:14:51.493536 | pp4rosie#2007 | Jek gartic
[command] Kanoon’s Best Amigos | 2021-11-25 16:19:54.585076 | zearthz#2243 | jek play https://www.youtube.com/watch?v=3pZfOHl5F-Y
[command] Kanoon’s Best Amigos | 2021-11-25 16:31:50.553096 | pleumpwr#4479 | jek play yesterday
[command] Kanoon’s Best Amigos | 2021-11-25 16:38:52.258917 | pp4rosie#2007 | Jek p amogus drip
[command] Kanoon’s Best Amigos | 2021-11-25 16:43:59.053781 | zearthz#2243 | jek playhttps://www.youtube.com/watch?v=QOnMER57heM
[command] Kanoon’s Best Amigos | 2021-11-25 16:44:13.497809 | zearthz#2243 | jek play https://www.youtube.com/watch?v=QOnMER57heM
[command] Kanoon’s Best Amigos | 2021-11-25 16:49:36.923451 | zearthz#2243 | jek play https://www.youtube.com/watch?v=gTNNLuEU2TM
[command] Kanoon’s Best Amigos | 2021-11-25 16:50:07.353943 | zearthz#2243 | jek play https://www.youtube.com/watch?v=nvMTfOTd-ps
[command] Kanoon’s Best Amigos | 2021-11-25 17:09:54.988655 | zearthz#2243 | jek play https://www.youtube.com/watch?v=OA3HzeZ6uH8
[command] Kanoon’s Best Amigos | 2021-11-25 17:18:05.165556 | zearthz#2243 | jek play https://www.youtube.com/watch?v=8250RkDrPg8
[command] Kanoon’s Best Amigos | 2021-11-25 17:35:23.280188 | Flukkie1010#6809 | jek play https://www.youtube.com/watch?v=DKpaKHUlyBY&t=3s
[command] Kanoon’s Best Amigos | 2021-11-25 17:58:16.943801 | pp4rosie#2007 | Jek p perfect symphony
[command] Kanoon’s Best Amigos | 2021-11-25 17:58:54.031191 | pp4rosie#2007 | Jek p https://youtu.be/GCnxcF49PMY
[command] Kanoon’s Best Amigos | 2021-11-25 18:03:49.465420 | pp4rosie#2007 | Jek p la vie en rose andrea bocelli
[command] Be Better 8 | 2021-11-25 19:03:38.739868 | Enguwu#4435 | jek bet
[command] Be Better 8 | 2021-11-25 19:04:17.755649 | Enguwu#4435 | jek match
[command] Be Better 8 | 2021-11-25 19:04:19.935476 | Enguwu#4435 | jek help
[command] Be Better 8 | 2021-11-25 19:04:19.938210 | Enguwu#4435 | jek clean
[command] Be Better 8 | 2021-11-25 19:04:31.330848 | Enguwu#4435 | jek wallet
[command] Be Better 8 | 2021-11-25 19:04:51.195226 | Enguwu#4435 | jek match
[command] Be Better 8 | 2021-11-25 19:05:06.067777 | Enguwu#4435 | jek bet
[command] Be Better 8 | 2021-11-25 19:05:35.135618 | Enguwu#4435 | jek bet 3005
[command] Be Better 8 | 2021-11-25 19:08:56.422214 | Enguwu#4435 | jek clean
[guild join] [VTT] Victory Team Thailand Clan | 2021-11-26 04:56:06.509167
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-26 11:07:36.887859 | QGIS#6129 | jek p https://www.youtube.com/watch?v=8hX6AFVQiWo&list=PLTr2UqhuL3Lqm3x76v_apnHUuJlzEc5Ys&index=1
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-26 11:08:05.531658 | QGIS#6129 | jek p (ACAPELLA ver.) Frost Queen Cookie's story theme song
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-26 11:16:42.224406 | QGIS#6129 | jek p https://www.youtube.com/watch?v=0EhRukyLNqc
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-26 15:03:34.234779 | QGIS#6129 | jek p (ACAPELLA ver.) Frost Queen Cookie's story theme song
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 12:57:44.273006 | pp4rosie#2007 | jek random fo4 rainbow6 csgo
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:41:21.058016 | pp4rosie#2007 | jek p perfect symphony lyrics
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:45:32.632896 | pp4rosie#2007 | Jek p sara’h perfect
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:49:56.703714 | pp4rosie#2007 | jek p con te partirò
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:52:22.167137 | pp4rosie#2007 | Jek p imagine chloé stafler
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:16.066254 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:18.626844 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:18.782250 | QGIS#6129 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:51.812601 | QGIS#6129 | jek checkin
[command] GLHFGGEZ | 2021-11-27 14:56:51.817368 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:51.818096 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:51.819292 | QGIS#6129 | jek bet 100
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:56:51.820083 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:11.963273 | แว่นแดง#5640 | jek bet 1250
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:39.730499 | QGIS#6129 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:43.611037 | pp4rosie#2007 | Jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:45.197416 | QGIS#6129 | jek bet 823.95
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:49.919581 | pp4rosie#2007 | Jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:58.172504 | pp4rosie#2007 | Jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:57:59.086169 | QGIS#6129 | jek bet 823
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 14:58:14.362032 | pp4rosie#2007 | Jek bet 50
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 16:23:44.998162 | pp4rosie#2007 | Jek p https://youtu.be/K2jEFDrqaRg
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 16:25:06.104155 | pp4rosie#2007 | Jek p perfect symphony
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 16:25:24.594992 | pp4rosie#2007 | Jek p perfect symphony lyrics
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 16:55:39.859079 | แว่นแดง#5640 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 16:56:25.216148 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:35:14.930328 | pp4rosie#2007 | Jek p kobayashi ed 2
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:53:31.984281 | แว่นแดง#5640 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:54:06.787938 | pp4rosie#2007 | jek bet 1000
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:54:11.886082 | pp4rosie#2007 | Jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:54:23.911205 | pp4rosie#2007 | Jek bet 100
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:54:28.907609 | pp4rosie#2007 | Jek checkin
[command] Kanoon’s Best Amigos | 2021-11-27 17:54:37.429439 | pp4rosie#2007 | Jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:54:41.553852 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:54:50.728292 | pp4rosie#2007 | Jek bet 200
[command] GLHFGGEZ | 2021-11-27 17:54:53.799703 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:58:55.794852 | pp4rosie#2007 | Jek p 你怎么说
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 17:59:23.115596 | pp4rosie#2007 | Jek p 我只在乎你
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-27 18:15:13.268728 | pp4rosie#2007 | Jek p นี่คือ mrt
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 14:14:53.099059 | QGIS#6129 | jek bet 200
[command] GLHFGGEZ | 2021-11-28 14:29:36.107919 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-11-28 14:30:00.238224 | เพื่อนมึงไง#5065 | jek bet 500
[command] GLHFGGEZ | 2021-11-28 14:30:42.057151 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-11-28 14:33:27.194782 | เพื่อนมึงไง#5065 | jek play https://www.youtube.com/watch?v=IsvvoyA54AE
[command] GLHFGGEZ | 2021-11-28 18:24:20.119351 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-28 18:24:22.544105 | แว่นแดง#5640 | jek claim
[command] GLHFGGEZ | 2021-11-28 18:24:29.958730 | เพื่อนมึงไง#5065 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:24:45.006633 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:24:55.969187 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:25:31.546757 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:25:40.718713 | QGIS#6129 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:26:40.441873 | QGIS#6129 | jek claim
[command] GLHFGGEZ | 2021-11-28 18:28:09.474169 | เพื่อนมึงไง#5065 | jek claim
[command] GLHFGGEZ | 2021-11-28 18:28:19.410069 | แว่นแดง#5640 | jek match
[command] GLHFGGEZ | 2021-11-28 18:28:30.855225 | แว่นแดง#5640 | jek bet 192
[command] GLHFGGEZ | 2021-11-28 18:28:41.548576 | แว่นแดง#5640 | jek bet 1592
[command] GLHFGGEZ | 2021-11-28 18:29:16.886822 | แว่นแดง#5640 | jek wallet
[command] GLHFGGEZ | 2021-11-28 18:29:19.609751 | เพื่อนมึงไง#5065 | jek bet 500
[command] GLHFGGEZ | 2021-11-28 18:29:59.063142 | เพื่อนมึงไง#5065 | jek bet 500
[command] GLHFGGEZ | 2021-11-28 18:30:22.669909 | เพื่อนมึงไง#5065 | jek wallet
[command] GLHFGGEZ | 2021-11-28 18:30:51.945038 | เพื่อนมึงไง#5065 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:54:27.122765 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:55:09.335304 | QGIS#6129 | jek give <@!327835727863873538> 100
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-28 18:56:03.880495 | QGIS#6129 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 05:07:49.918762 | QGIS#6129 | Jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 05:50:23.581946 | แว่นแดง#5640 | Jek claim
[command] Be Better 8 | 2021-11-29 08:58:23.037589 | Enguwu#4435 | jek wallet
[command] Kanoon’s Best Amigos | 2021-11-29 09:34:06.070059 | zearthz#2243 | jek play https://www.youtube.com/watch?v=21wXgRM3h1E
[command] Kanoon’s Best Amigos | 2021-11-29 09:35:04.030999 | pp4rosie#2007 | Jek p https://youtu.be/LyYdEJm3XZA
[command] Kanoon’s Best Amigos | 2021-11-29 09:38:09.909020 | pp4rosie#2007 | Jek p https://youtu.be/8Uj0FQhSE50
[command] Kanoon’s Best Amigos | 2021-11-29 09:38:23.570505 | pp4rosie#2007 | Jek p https://youtu.be/xsNK-NwZ14Y
[command] Kanoon’s Best Amigos | 2021-11-29 09:40:40.809840 | pp4rosie#2007 | Jek p yoriyoi
[command] Kanoon’s Best Amigos | 2021-11-29 09:48:47.202767 | Flukkie1010#6809 | jek play https://youtu.be/DKpaKHUlyBY
[command] Kanoon’s Best Amigos | 2021-11-29 10:00:35.977928 | zearthz#2243 | jek play https://www.youtube.com/watch?v=21wXgRM3h1E
[command] Kanoon’s Best Amigos | 2021-11-29 10:25:31.751894 | zearthz#2243 | jek play https://www.youtube.com/watch?v=D9G1VOjN_84
[command] Kanoon’s Best Amigos | 2021-11-29 10:33:13.394251 | lordstone#8830 | jek play https://youtu.be/aR-KAldshAE
[command] Kanoon’s Best Amigos | 2021-11-29 10:36:17.594855 | zearthz#2243 | jek play https://www.youtube.com/watch?v=iurhjlBum0o
[command] Kanoon’s Best Amigos | 2021-11-29 10:46:45.663859 | zearthz#2243 | jek play https://www.youtube.com/watch?v=jA_3g8zgMf0
[command] Kanoon’s Best Amigos | 2021-11-29 10:48:11.169674 | zearthz#2243 | jek play https://www.youtube.com/watch?v=DkKr8fGIrCM
[command] Kanoon’s Best Amigos | 2021-11-29 11:06:50.697831 | pp4rosie#2007 | Jek p 每当变幻时 熏妮
[command] GLHFGGEZ | 2021-11-29 11:09:35.080047 | เพื่อนมึงไง#5065 | jek play https://www.youtube.com/watch?v=JkFWKHnzZfo
[command] GLHFGGEZ | 2021-11-29 11:10:15.131555 | แว่นแดง#5640 | jek wallet
[command] Kanoon’s Best Amigos | 2021-11-29 11:10:18.129659 | pp4rosie#2007 | Jek p san jin joeng wu dip mung
[command] GLHFGGEZ | 2021-11-29 11:10:30.044708 | เพื่อนมึงไง#5065 | jek claim
[command] GLHFGGEZ | 2021-11-29 11:18:15.127912 | แว่นแดง#5640 | jek match
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 13:04:22.638077 | pp4rosie#2007 | Jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 13:04:43.263286 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 13:04:51.185102 | แว่นแดง#5640 | jek give <@!882277442218250260> 2645
[command] GLHFGGEZ | 2021-11-29 18:14:37.197818 | เพื่อนมึงไง#5065 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 18:28:16.736854 | pp4rosie#2007 | Jek p https://youtu.be/qB9iL_ex8ZI
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 18:29:35.459668 | pp4rosie#2007 | Jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 18:29:52.443187 | pp4rosie#2007 | Jek checkin
[command] Kanoon’s Best Amigos | 2021-11-29 18:30:07.139695 | pp4rosie#2007 | Jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-29 19:31:29.475943 | pp4rosie#2007 | Jek p 阳光彩虹小白马
[command] GLHFGGEZ | 2021-11-30 10:22:57.738561 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-11-30 10:23:01.273424 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-11-30 10:24:32.098611 | เพื่อนมึงไง#5065 | jek bet 200
[command] GLHFGGEZ | 2021-11-30 10:24:46.668082 | เพื่อนมึงไง#5065 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-30 10:59:24.174313 | QGIS#6129 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-30 10:59:46.711298 | QGIS#6129 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-30 12:39:57.306757 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-30 12:40:05.137992 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-30 13:39:04.042776 | แว่นแดง#5640 | jek wallet
[command] Kanoon’s Best Amigos | 2021-11-30 13:56:13.426691 | Flukkie1010#6809 | jek spam <@!293722130540134403>
[command] Be Better 8 | 2021-11-30 14:37:12.110275 | Enguwu#4435 | jek wallet
[command] Be Better 8 | 2021-11-30 14:43:42.364853 | Enguwu#4435 | jek give me money
[command] GLHFGGEZ | 2021-12-01 03:30:51.062808 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-12-01 03:30:56.168103 | เพื่อนมึงไง#5065 | jek claim
[command] GLHFGGEZ | 2021-12-01 08:30:15.741007 | แว่นแดง#5640 | jek bet
[command] GLHFGGEZ | 2021-12-01 08:30:46.809422 | แว่นแดง#5640 | jek wallet
[command] GLHFGGEZ | 2021-12-01 08:31:39.992624 | แว่นแดง#5640 | jek bet 300
[command] GLHFGGEZ | 2021-12-01 08:32:19.066981 | แว่นแดง#5640 | jek bet 1500
[command] GLHFGGEZ | 2021-12-01 08:32:41.691738 | แว่นแดง#5640 | jek bet 700
[command] GLHFGGEZ | 2021-12-01 08:33:11.926820 | แว่นแดง#5640 | jek bet 1000
[command] GLHFGGEZ | 2021-12-01 08:33:49.698811 | แว่นแดง#5640 | jek bet 1000
[command] GLHFGGEZ | 2021-12-01 08:34:07.128634 | แว่นแดง#5640 | jek wallet
[command] GLHFGGEZ | 2021-12-01 08:35:23.674062 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-12-01 08:36:07.717377 | เพื่อนมึงไง#5065 | jek bet 200
[command] GLHFGGEZ | 2021-12-01 08:36:32.459775 | เพื่อนมึงไง#5065 | jek bet 500
[command] GLHFGGEZ | 2021-12-01 08:37:11.105277 | เพื่อนมึงไง#5065 | jek bet 300
[command] GLHFGGEZ | 2021-12-01 08:38:00.296005 | เพื่อนมึงไง#5065 | jek bet 200
[command] GLHFGGEZ | 2021-12-01 08:38:28.198425 | เพื่อนมึงไง#5065 | jek bet 200
[command] GLHFGGEZ | 2021-12-01 08:39:05.582821 | เพื่อนมึงไง#5065 | jek bet 300
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 05:39:11.481702 | แว่นแดง#5640 | jek claim
[command] GLHFGGEZ | 2021-12-02 08:49:12.999211 | เพื่อนมึงไง#5065 | jek claim
[command] GLHFGGEZ | 2021-12-02 08:49:34.855871 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-12-02 11:20:01.890823 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-12-02 11:21:10.143856 | เพื่อนมึงไง#5065 | jek bet 300
[command] GLHFGGEZ | 2021-12-02 11:21:37.250307 | เพื่อนมึงไง#5065 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 11:27:55.043193 | QGIS#6129 | jek bet 200
[command] Kanoon’s Best Amigos | 2021-12-02 14:34:41.866785 | zearthz#2243 | jek play https://youtu.be/DkKr8fGIrCM
[command] Kanoon’s Best Amigos | 2021-12-02 14:38:26.666505 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=LyYdEJm3XZA
[command] Kanoon’s Best Amigos | 2021-12-02 14:39:03.308074 | zearthz#2243 | jek play https://youtu.be/J2QXlws4ork
[command] Kanoon’s Best Amigos | 2021-12-02 14:41:23.158001 | zearthz#2243 | jek play https://youtu.be/ZaCRcEmSOG8
[command] Kanoon’s Best Amigos | 2021-12-02 14:41:58.388798 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=8Uj0FQhSE50
[command] Kanoon’s Best Amigos | 2021-12-02 14:46:53.576093 | pp4rosie#2007 | jek p memoir of a geisha ost
[command] Kanoon’s Best Amigos | 2021-12-02 14:48:37.174675 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=Nq5k2oR-Qh4
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:00:20.887272 | pp4rosie#2007 | jek p https://youtu.be/GCnxcF49PMY
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:04:40.656869 | pp4rosie#2007 | jek p https://youtu.be/9zEl-FQLI4A
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:10:39.205550 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=YsDHCjwHLh8
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:11:52.181733 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=LyYdEJm3XZA
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:17:32.355955 | แว่นแดง#5640 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:18:09.750493 | แว่นแดง#5640 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:30:27.800220 | pp4rosie#2007 | jek thomas
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:30:32.830823 | pp4rosie#2007 | jek thomas
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:30:39.641049 | pp4rosie#2007 | jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:30:55.630115 | pp4rosie#2007 | jek amogus
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:31:05.667014 | pp4rosie#2007 | jek boo
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:37:40.164617 | pp4rosie#2007 | jek p https://youtu.be/dCDqfAvrQ4s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:38:24.534999 | QGIS#6129 | jek p https://www.youtube.com/watch?v=8hX6AFVQiWo
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:44:51.812035 | pp4rosie#2007 | jek p https://youtu.be/EmHYhDXz-Zs
[command] ไม่ขายก๋วยเตี๋ยว | 2021-12-02 15:45:01.838934 | pp4rosie#2007 | jek p https://www.youtube.com/watch?v=YG4iTGjuoKw
