
[command] Kanoon’s Best Amigos | 2021-10-28 13:12:28.736071 | pleumpwr#4479 | jek wallet
[command] Kanoon’s Best Amigos | 2021-11-02 16:10:38.742107 | ....#6809 | jek play https://www.youtube.com/watch?v=kTJczUoc26U
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 22:19:44.199439 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 22:19:54.827180 | QGIS#6129 | jek bet 20
[guild join] CU Avenger | 2021-11-03 07:26:57.079586
[command] CU Avenger | 2021-11-03 07:27:45.271212 | Vader#4524 | jek help
[command] CU Avenger | 2021-11-03 07:28:43.351307 | Vader#4524 | jek p enemy
[command] CU Avenger | 2021-11-03 07:28:48.221643 | QGIS#6129 | jek wallet
[command] CU Avenger | 2021-11-03 07:29:03.664815 | QGIS#6129 | jek clear
[command] CU Avenger | 2021-11-03 07:29:21.402027 | OMG!!! He looks at you#7104 | jek clear
[command] CU Avenger | 2021-11-03 07:29:32.654237 | QGIS#6129 | jek match
[command] CU Avenger | 2021-11-03 07:29:39.586318 | QGIS#6129 | jek bet 100
[command] CU Avenger | 2021-11-03 07:29:56.653920 | OMG!!! He looks at you#7104 | jek wallet
[command] CU Avenger | 2021-11-03 07:30:09.512909 | Vader#4524 | jek wallet
[guild join] Be Better 8 | 2021-11-03 07:30:54.057481
[guild join] ชมรมคนเหงาเซิฟแน่น | 2021-11-03 07:30:54.536404
[command] Be Better 8 | 2021-11-03 07:31:37.930706 | Vader#4524 | jek help
[guild join] SMART BRAIN Co. | 2021-11-03 07:31:40.536058
[guild join] Platelet NexLevel | 2021-11-03 07:32:00.190311
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-03 07:32:05.917192 | QGIS#6129 | jek help
[command] CU Avenger | 2021-11-03 07:32:39.452408 | Vader#4524 | jek p thunder
[command] CU Avenger | 2021-11-03 07:32:56.729544 | Vader#4524 | jek p whatever it takes
[command] Be Better 8 | 2021-11-03 07:39:08.436244 | Vader#4524 | jek bet
[command] Be Better 8 | 2021-11-03 08:16:21.270826 | Enguwu#4435 | jek help
[command] Be Better 8 | 2021-11-03 08:17:18.375242 | Enguwu#4435 | jek wallet
[command] Be Better 8 | 2021-11-03 08:17:38.992516 | Enguwu#4435 | jek match
[command] Be Better 8 | 2021-11-03 08:17:50.923165 | Enguwu#4435 | jek bet
[command] CU Avenger | 2021-11-03 08:18:19.506678 | Vader#4524 | jek p ทนได้ทุกที
[command] CU Avenger | 2021-11-03 08:18:40.452681 | Vader#4524 | jek ทนได้ทุกที ตั้ม
[command] CU Avenger | 2021-11-03 08:18:48.111131 | Vader#4524 | jek p ทนได้ทุกที ตั้ม
[command] Be Better 8 | 2021-11-03 08:20:07.318299 | Enguwu#4435 | jek tag <@!669348103899578411>
[command] Be Better 8 | 2021-11-03 08:20:23.158334 | Enguwu#4435 | jek clean
[command] Be Better 8 | 2021-11-03 08:20:53.273719 | Enguwu#4435 | jek bet atalanta draw 1000
[command] Be Better 8 | 2021-11-03 08:21:05.532252 | Enguwu#4435 | jek bet
[command] Be Better 8 | 2021-11-03 08:21:16.290820 | Enguwu#4435 | jek bet 1000
[command] Be Better 8 | 2021-11-03 08:23:02.902898 | Enguwu#4435 | jek bet away
[command] Be Better 8 | 2021-11-03 08:23:18.104697 | Enguwu#4435 | jek clean
[command] CU Avenger | 2021-11-03 08:24:10.285319 | Vader#4524 | jek p i'm gonna be 500
[command] Be Better 8 | 2021-11-03 08:24:11.190316 | Enguwu#4435 | jek checj
[command] Be Better 8 | 2021-11-03 08:24:15.684822 | Enguwu#4435 | jek check
[command] Be Better 8 | 2021-11-03 08:24:21.176885 | Enguwu#4435 | jek help
[command] Be Better 8 | 2021-11-03 08:24:30.889039 | Enguwu#4435 | jek mybet
[command] Be Better 8 | 2021-11-03 08:24:49.423432 | Enguwu#4435 | jek wallet
[command] Be Better 8 | 2021-11-03 08:34:18.512144 | Vader#4524 | jek p ทรงพระเจริญ
[command] Be Better 8 | 2021-11-03 09:28:32.003882 | ttuuzz#3806 | Jek mybet
[command] GLHFGGEZ | 2021-11-03 10:17:47.635408 | เพื่อนมึงไง#5065 | jek claim
[command] GLHFGGEZ | 2021-11-03 10:18:01.396568 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-11-03 10:18:07.090427 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-03 10:18:11.607650 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-03 10:18:14.440687 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-11-03 10:18:49.068456 | แว่นแดง#5640 | jek wallet
[command] GLHFGGEZ | 2021-11-03 10:19:00.735666 | เพื่อนมึงไง#5065 | jek bet 123
[command] GLHFGGEZ | 2021-11-03 10:19:29.374044 | แว่นแดง#5640 | jek bet 300.5
[command] GLHFGGEZ | 2021-11-03 10:19:35.490932 | แว่นแดง#5640 | jek bet 300
[command] GLHFGGEZ | 2021-11-03 10:20:07.754847 | เพื่อนมึงไง#5065 | jek bet 100
[command] GLHFGGEZ | 2021-11-03 10:20:45.454479 | แว่นแดง#5640 | jek give <@!273324992060588035>  0.00000000000001
[command] GLHFGGEZ | 2021-11-03 10:21:08.972260 | เพื่อนมึงไง#5065 | jek wallet
[command] Be Better 8 | 2021-11-03 11:39:09.844984 | Enguwu#4435 | jek mybet
[command] Be Better 8 | 2021-11-03 11:39:14.068886 | Enguwu#4435 | jek clean
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-03 13:01:39.120918 | QGIS#6129 | jek checkin
[command] Kanoon’s Best Amigos | 2021-11-03 15:29:27.483937 | ....#6809 | jek play https://www.youtube.com/watch?v=HG_ZC9N_4NM
[command] Platelet NexLevel | 2021-11-03 15:50:16.938034 | Vader#4524 | jek p ทรงพระเจริญ
[command] Platelet NexLevel | 2021-11-03 15:56:52.149845 | Vader#4524 | jek clear
[command] Platelet NexLevel | 2021-11-03 15:56:59.340916 | Vader#4524 | jek clear
[command] Platelet NexLevel | 2021-11-03 15:57:06.742419 | Vader#4524 | jek p enemy
[command] Platelet NexLevel | 2021-11-03 15:57:07.011315 | NeospiritTH#5002 | jek bet
[command] Platelet NexLevel | 2021-11-03 15:57:38.677606 | NeospiritTH#5002 | jek wallet
[command] Kanoon’s Best Amigos | 2021-11-03 17:01:10.821535 | pp4rosie#2007 | jek play les champs elysees joe dassin
[command] Kanoon’s Best Amigos | 2021-11-03 17:05:09.950965 | pp4rosie#2007 | jek ue wo muite arukou
[command] Kanoon’s Best Amigos | 2021-11-03 17:05:21.086072 | pp4rosie#2007 | jek play ue wo muite arukou
[command] Kanoon’s Best Amigos | 2021-11-03 17:06:08.128269 | pp4rosie#2007 | jek play https://youtu.be/RHb5LKnnxLg
[command] Kanoon’s Best Amigos | 2021-11-03 17:08:48.402289 | pp4rosie#2007 | jek play la vie en rose andrea bocelli
[command] Kanoon’s Best Amigos | 2021-11-03 17:13:12.831349 | pp4rosie#2007 | jek play https://youtu.be/oFJIenHfjK0
[command] Kanoon’s Best Amigos | 2021-11-03 17:21:38.588515 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Pm-H0rxHMj8
[command] Kanoon’s Best Amigos | 2021-11-03 17:22:25.350456 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=k9J6rFWTfVA&t=1s
[command] Kanoon’s Best Amigos | 2021-11-03 17:22:54.225735 | pp4rosie#2007 | jek play la marseillaise assassin's creed unity
[command] Kanoon’s Best Amigos | 2021-11-03 17:30:23.165873 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=0fWjfGdSVHc
[command] Kanoon’s Best Amigos | 2021-11-03 17:36:20.930650 | pp4rosie#2007 | jek play san yin yoeng wu dip mung
[command] Kanoon’s Best Amigos | 2021-11-03 17:36:47.911627 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:41:07.885419 | pp4rosie#2007 | jek play 小李飞刀
[command] Kanoon’s Best Amigos | 2021-11-03 17:41:24.949826 | pp4rosie#2007 | jek play 小李飞刀 歌
[command] Kanoon’s Best Amigos | 2021-11-03 17:41:32.999985 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:41:59.108762 | pp4rosie#2007 | jek play 小李飞刀 罗文
[command] Kanoon’s Best Amigos | 2021-11-03 17:42:11.137663 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:42:24.571021 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:43:12.861213 | pleumpwr#4479 | jek play jeff snow อึดอัดหัวใจ
[command] Kanoon’s Best Amigos | 2021-11-03 17:45:15.973865 | zearthz#2243 | jek play https://youtu.be/rFHUnEeIJII
[command] Kanoon’s Best Amigos | 2021-11-03 17:46:32.959587 | pp4rosie#2007 | jek play https://youtu.be/rAn_MkaqlPs
[command] Kanoon’s Best Amigos | 2021-11-03 17:46:57.177465 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:46:59.513968 | pleumpwr#4479 | jek q
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:06.570335 | pp4rosie#2007 | jek play https://youtu.be/rAn_MkaqlPs
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:19.000634 | pleumpwr#4479 | jek play jeff snow อึดอัดหัวใจ
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:22.837685 | pp4rosie#2007 | jek leave
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:26.810759 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:30.854816 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:33.750625 | pp4rosie#2007 | jek play https://youtu.be/rAn_MkaqlPs
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:43.161809 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-11-03 17:47:48.620044 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:48:20.306729 | pleumpwr#4479 | jek play อึดอัดหัวใจ jek snow
[command] Kanoon’s Best Amigos | 2021-11-03 17:48:54.510531 | pleumpwr#4479 | jek play jeff snow อึดอัดหัวใจ
[command] Kanoon’s Best Amigos | 2021-11-03 17:51:02.192129 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Qow_XNBCdl0
[command] Kanoon’s Best Amigos | 2021-11-03 17:51:16.245468 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 17:51:19.286714 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Qow_XNBCdl0
[command] Kanoon’s Best Amigos | 2021-11-03 17:51:37.829075 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-11-03 17:51:52.086972 | pleumpwr#4479 | jek play Jeff Snow อึดอัดหัวใจ
[command] Kanoon’s Best Amigos | 2021-11-03 17:51:56.961741 | zearthz#2243 | jek play https://youtu.be/tDWeLlvYyYU
[command] Kanoon’s Best Amigos | 2021-11-03 17:53:23.384084 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=4VwdIXHGAog
[command] Kanoon’s Best Amigos | 2021-11-03 17:53:45.161768 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=iMtGFSa0nh8
[command] Kanoon’s Best Amigos | 2021-11-03 17:55:09.552855 | zearthz#2243 | jek play https://youtu.be/Z9DowRZQB-M
[command] Kanoon’s Best Amigos | 2021-11-03 17:57:22.689735 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=Q0yihte2p6g&t=37s
[command] Kanoon’s Best Amigos | 2021-11-03 17:57:47.234301 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=l58nUGG5nyk
[command] Kanoon’s Best Amigos | 2021-11-03 17:59:11.940935 | zearthz#2243 | jek play https://youtu.be/0izObodhCwE
[command] Kanoon’s Best Amigos | 2021-11-03 17:59:18.147883 | pp4rosie#2007 | jek play https://youtu.be/4REbp0s_G9w
[command] Kanoon’s Best Amigos | 2021-11-03 18:03:45.439611 | zearthz#2243 | jek play https://youtu.be/IHgqZwf-4K0
[command] Kanoon’s Best Amigos | 2021-11-03 18:04:26.624060 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=bniG4TOhzf0
[command] Kanoon’s Best Amigos | 2021-11-03 18:10:26.670982 | pp4rosie#2007 | jek play la vie en rose andrea bocelli
[command] Kanoon’s Best Amigos | 2021-11-03 18:12:26.777260 | zearthz#2243 | jek play https://youtu.be/O_-WKkzU3ZY
[command] Kanoon’s Best Amigos | 2021-11-03 18:15:34.285049 | zearthz#2243 | jek play https://youtu.be/n9FMvfvkBro
[command] Kanoon’s Best Amigos | 2021-11-03 18:17:31.118349 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=GnBc2SSGF8Y
[command] Kanoon’s Best Amigos | 2021-11-03 18:17:49.262471 | zearthz#2243 | jek play https://youtu.be/_NBG4HG6Z94
[command] Kanoon’s Best Amigos | 2021-11-03 18:17:50.792424 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=bniG4TOhzf0
[command] Kanoon’s Best Amigos | 2021-11-03 18:20:27.721448 | pleumpwr#4479 | jek play it's g ma
[command] Kanoon’s Best Amigos | 2021-11-03 18:32:13.889946 | ....#6809 | jek play https://www.youtube.com/watch?v=kTJczUoc26U
[command] Kanoon’s Best Amigos | 2021-11-03 18:34:47.788299 | pp4rosie#2007 | jek dancin krono remix
[command] Kanoon’s Best Amigos | 2021-11-03 18:34:56.420376 | pp4rosie#2007 | jek play dancin krono remix
[command] Kanoon’s Best Amigos | 2021-11-03 18:35:20.314786 | ....#6809 | jek play https://www.youtube.com/watch?v=HG_ZC9N_4NM
[command] Kanoon’s Best Amigos | 2021-11-03 19:03:46.838740 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=J6ZFJoef5Cc
[command] Kanoon’s Best Amigos | 2021-11-03 20:17:38.212046 | pp4rosie#2007 | jek play 愿世间有青天 鲁振顺
[command] Kanoon’s Best Amigos | 2021-11-03 20:18:06.157406 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 20:18:54.652634 | zearthz#2243 | jek play https://youtu.be/kFzViYkZAz4
[command] Kanoon’s Best Amigos | 2021-11-03 20:20:36.938933 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 20:20:44.148740 | pp4rosie#2007 | jek play la vie en rose edith piaf
[command] Kanoon’s Best Amigos | 2021-11-03 20:21:09.698625 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-11-03 20:21:17.921703 | pp4rosie#2007 | jek queue
[command] Kanoon’s Best Amigos | 2021-11-03 20:21:27.289775 | pp4rosie#2007 | jek play la vie en rose edith piaf
[command] Kanoon’s Best Amigos | 2021-11-03 20:36:47.909674 | zearthz#2243 | jek play https://youtu.be/fRFiIBtg8WI
[command] Kanoon’s Best Amigos | 2021-11-03 20:40:01.463056 | pp4rosie#2007 | jek play sympathique
[command] Kanoon’s Best Amigos | 2021-11-03 20:40:13.183032 | pp4rosie#2007 | jek play sympathique
[command] Kanoon’s Best Amigos | 2021-11-03 20:40:27.140273 | pp4rosie#2007 | jek play sympathique pink martini
[command] Kanoon’s Best Amigos | 2021-11-03 20:43:24.354204 | pp4rosie#2007 | jek play on était beau
[command] Kanoon’s Best Amigos | 2021-11-03 21:41:20.410925 | zearthz#2243 | jek play https://youtu.be/1JhYYUWOBBs
[command] Kanoon’s Best Amigos | 2021-11-03 21:46:29.149234 | zearthz#2243 | jek play https://youtu.be/oFPiLrs-QAo
[command] Kanoon’s Best Amigos | 2021-11-03 21:52:36.564332 | zearthz#2243 | jek play https://youtu.be/fVfnEyLOkrM
[command] Be Better 8 | 2021-11-04 06:00:31.984557 | Enguwu#4435 | jek wallet
[command] Be Better 8 | 2021-11-04 06:00:38.026133 | Enguwu#4435 | jek help
[command] Be Better 8 | 2021-11-04 06:01:58.746262 | Enguwu#4435 | jek claim
[command] Be Better 8 | 2021-11-04 06:02:27.893501 | Enguwu#4435 | jek clean
[command] Be Better 8 | 2021-11-04 06:03:55.386187 | Vader#4524 | jek help
[command] Be Better 8 | 2021-11-04 06:04:25.727917 | Vader#4524 | jek add 100
[command] Be Better 8 | 2021-11-04 06:04:33.912994 | Vader#4524 | jek wallet
[command] Be Better 8 | 2021-11-04 06:04:39.738032 | Vader#4524 | jek add 1000
[command] Be Better 8 | 2021-11-04 06:04:44.602711 | Vader#4524 | jek shit
[command] Be Better 8 | 2021-11-04 06:04:48.887114 | Vader#4524 | jek clean
[command] CU Avenger | 2021-11-04 06:37:13.392728 | Vader#4524 | jek p Imagine Dragons - Demons
[command] GLHFGGEZ | 2021-11-04 08:40:19.916714 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-11-04 08:40:23.657248 | เพื่อนมึงไง#5065 | jek claim
[command] GLHFGGEZ | 2021-11-04 08:40:43.721167 | แว่นแดง#5640 | jek claim
[command] GLHFGGEZ | 2021-11-04 08:41:05.535973 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-04 08:41:10.864258 | เพื่อนมึงไง#5065 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-04 08:41:18.669730 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-04 08:41:44.448567 | เพื่อนมึงไง#5065 | jek clear
[command] Platelet NexLevel | 2021-11-04 14:28:28.642882 | Vader#4524 | jek p enemy
[command] Platelet NexLevel | 2021-11-04 14:29:10.743433 | Hiperity#8699 | jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-04 14:30:55.481460 | pp4rosie#2007 | jek trans | 馬鹿みたい 子供なのね
夢を追って傷ついて
嘘が下手なくせに 笑えない笑顔みせた

I love youも ろくに言わない
口下手でほんまに不器用
なのになのにどうして サヨナラは言えたの

だめだね だめよ だめなのよ
あんたが 好きで好きすぎて
どれだけ 強いお酒でも
歪まない思い出が 馬鹿みたい

———————————————–
馬鹿みたい 本当バカね
あんた信じるばかりで
強い女のふり 切なさの夜風浴びる

一人になって ３年が過ぎ
街並みさえも 変わりました
なのになのにどうして 未練だけ置き去り

ほんまに ロクな男やない
揃いの指輪 はずします
ざまあみろ せいせいするわ
いい加減 待ってても 馬鹿みたい

だめだね だめよ だめなのよ
あんたが 好きで好きすぎて
どれだけ 強いお酒でも
歪まない思い出が 馬鹿みたい

ほんまに ロクな男やない
揃いの指輪 はずします
ざまあみろ せいせいするわ
なんなのよ この涙 馬鹿みたい
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-04 14:31:32.806416 | pp4rosie#2007 | jek checkin
[command] Kanoon’s Best Amigos | 2021-11-04 14:31:39.424213 | pp4rosie#2007 | jek checkin
[command] Kanoon’s Best Amigos | 2021-11-04 14:51:40.554002 | pp4rosie#2007 | jek play stairway to heaven 1973
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-04 14:51:47.394804 | QGIS#6129 | jek match
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-04 14:52:00.991475 | QGIS#6129 | jek bet 69
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-04 14:52:10.222977 | QGIS#6129 | jek checkin
[command] Kanoon’s Best Amigos | 2021-11-04 15:01:41.076295 | zearthz#2243 | jek play https://youtu.be/ayCAf3cm6Lc
[command] Kanoon’s Best Amigos | 2021-11-04 15:02:47.502311 | pp4rosie#2007 | jek play sympathique
[command] Kanoon’s Best Amigos | 2021-11-04 15:03:01.965783 | pp4rosie#2007 | jek play sympathique pink martini
[command] Kanoon’s Best Amigos | 2021-11-04 15:05:56.051705 | pp4rosie#2007 | jek play dragostea din tei
[command] Kanoon’s Best Amigos | 2021-11-04 15:20:42.888699 | pp4rosie#2007 | jek play ucl anthem 2009-2019
[command] Kanoon’s Best Amigos | 2021-11-04 15:23:58.591970 | zearthz#2243 | jek play https://youtu.be/5AFxRjl5TQQ
[command] Kanoon’s Best Amigos | 2021-11-04 15:32:09.572731 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=4REbp0s_G9w
[command] Kanoon’s Best Amigos | 2021-11-04 15:32:33.599049 | ....#6809 | jek play https://www.youtube.com/watch?v=yenEi5IOsQY
[command] Kanoon’s Best Amigos | 2021-11-04 15:35:56.579528 | pp4rosie#2007 | jek play บูชิโด เพลง
[command] Kanoon’s Best Amigos | 2021-11-04 15:38:03.390351 | zearthz#2243 | jek play https://youtu.be/2-fpjaP6bFI
[command] Kanoon’s Best Amigos | 2021-11-04 15:38:56.890157 | pp4rosie#2007 | jek play fly me to the moon
[command] Kanoon’s Best Amigos | 2021-11-04 15:39:06.085778 | pp4rosie#2007 | jek play volons vers la lune
[command] Kanoon’s Best Amigos | 2021-11-04 15:43:55.012697 | zearthz#2243 | jek play https://youtu.be/H_1bYgbU5Cw
[command] Kanoon’s Best Amigos | 2021-11-04 15:46:32.227505 | pp4rosie#2007 | jek play คิดเหมือนกันรึเปล่า
[command] Kanoon’s Best Amigos | 2021-11-04 15:46:55.028310 | zearthz#2243 | jek play https://youtu.be/sbbp15gyv9E
[command] Kanoon’s Best Amigos | 2021-11-04 15:46:56.905364 | pp4rosie#2007 | jek play แรงโน้มถ่ว
[command] Kanoon’s Best Amigos | 2021-11-04 15:48:31.874574 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Zzp5nDG7ObQ
[command] Kanoon’s Best Amigos | 2021-11-04 15:50:56.693809 | zearthz#2243 | jek play https://youtu.be/5Bh49ch5mw8
[command] Kanoon’s Best Amigos | 2021-11-04 16:05:07.820214 | zearthz#2243 | jek play https://youtu.be/ANVQScgIeag
[command] Kanoon’s Best Amigos | 2021-11-04 16:17:55.298972 | zearthz#2243 | jek play https://youtu.be/TBTI7_90o8U
[command] Kanoon’s Best Amigos | 2021-11-04 16:24:19.170033 | pp4rosie#2007 | jek play 每当变幻时 温拿乐队
[command] Kanoon’s Best Amigos | 2021-11-04 16:26:26.576297 | pp4rosie#2007 | jek play 上海滩龙虎斗
[command] Kanoon’s Best Amigos | 2021-11-04 16:28:16.099764 | pp4rosie#2007 | jek play 风雨同路
[command] Kanoon’s Best Amigos | 2021-11-04 16:29:14.956159 | pp4rosie#2007 | jek play 失恋阵线联盟
[command] Kanoon’s Best Amigos | 2021-11-04 16:33:28.824140 | pp4rosie#2007 | jek play https://youtu.be/Qow_XNBCdl0
[command] Kanoon’s Best Amigos | 2021-11-04 17:19:18.602795 | zearthz#2243 | jek play https://youtu.be/TcDMXATR7q0
[command] Kanoon’s Best Amigos | 2021-11-04 18:04:45.905465 | pp4rosie#2007 | jek play ชมพูฟ้าอาลัย
[command] Platelet NexLevel | 2021-11-04 22:30:51.713788 | Vader#4524 | jek p enemy
[command] Platelet NexLevel | 2021-11-04 22:31:03.679640 | Vader#4524 | jek p whatever it takes
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 09:51:12.468556 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-05 09:51:17.047761 | แว่นแดง#5640 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 09:51:22.918193 | QGIS#6129 | Jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 09:51:29.030913 | QGIS#6129 | Jek bet 100
[command] GLHFGGEZ | 2021-11-05 10:14:20.361232 | แว่นแดง#5640 | jek wallet
[command] GLHFGGEZ | 2021-11-05 10:14:24.080098 | แว่นแดง#5640 | jek bet 200
[command] GLHFGGEZ | 2021-11-05 12:44:43.089457 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-11-05 12:44:50.073066 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-11-05 12:45:32.723586 | เพื่อนมึงไง#5065 | jek bet 100
[command] GLHFGGEZ | 2021-11-05 12:47:50.457881 | เพื่อนมึงไง#5065 | jek bet 100
[command] GLHFGGEZ | 2021-11-05 12:48:14.900565 | เพื่อนมึงไง#5065 | jek bet 100
[command] GLHFGGEZ | 2021-11-05 12:48:35.060348 | เพื่อนมึงไง#5065 | jek bet 100
[command] GLHFGGEZ | 2021-11-05 12:48:49.537737 | เพื่อนมึงไง#5065 | jek wallet
[command] GLHFGGEZ | 2021-11-05 12:49:08.568353 | เพื่อนมึงไง#5065 | jek bet 50
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:22:25.516918 | pp4rosie#2007 | jek play les champs elysees
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:25:07.761867 | pp4rosie#2007 | jek play super idol 的笑容都没你的甜
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:25:33.205578 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=qB9iL_ex8ZI
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:31:14.076013 | pp4rosie#2007 | jek play https://youtu.be/CoX-XSyMJcM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:33:59.633256 | pp4rosie#2007 | jek play https://youtu.be/HJNexV9utqs
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:35:07.210070 | pp4rosie#2007 | jek play https://youtu.be/woFTMwLJilI
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:39:10.933137 | pp4rosie#2007 | jek play balada boa
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:43:08.008441 | pp4rosie#2007 | jek play https://youtu.be/OVCBjHqUOco
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:46:30.232129 | pp4rosie#2007 | jek play la vie en rose andrea bocelli
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:52:27.016391 | pp4rosie#2007 | jek play https://youtu.be/Itfw53K5o44
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 16:57:36.151073 | pp4rosie#2007 | jek play ramenez la coupe a la maison
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 17:16:02.138145 | pp4rosie#2007 | jek play 巩金瓯
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 17:20:57.714866 | pp4rosie#2007 | jek play https://youtu.be/Qow_XNBCdl0
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 17:25:59.383585 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=4REbp0s_G9w
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 17:29:41.352630 | pp4rosie#2007 | jek play stay kid laroi
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 18:05:18.275156 | pp4rosie#2007 | jek play https://youtu.be/6oD7PKRYfU8
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 18:05:40.852219 | pp4rosie#2007 | jek play https://youtu.be/FFL2UGHCkRM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 18:52:46.620454 | pp4rosie#2007 | jek play https://youtu.be/8evQAP5hZTU
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 18:55:04.141693 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=hTbstwuYkQA
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 19:14:34.107363 | pp4rosie#2007 | jek play https://youtu.be/vNV9M0MGdso
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 19:19:46.351691 | pp4rosie#2007 | jek play v
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-05 19:19:56.661733 | pp4rosie#2007 | jek play https://youtu.be/wD2tdh1-aOg
